market,Corp Code,Category,Corp Name,URL,,
 東証二部 ,1948,建設 ,弘電社,http://www.kk-kodensha.co.jp/,,
 東証一部 ,1949,建設 ,住友電設,http://www.sem.co.jp/,,
 東証一部 ,1950,建設 ,日本電設工業,http://www.densetsuko.co.jp/,,
 東証一部 ,1951,建設 ,協和エクシオ,http://www.exeo.co.jp/,,
 東証一部 ,1952,建設 ,新日本空調,http://www.snk.co.jp/,,
 東証一部 ,1954,サービス ,日本工営,http://www.n-koei.co.jp/,,
" 東証一部,名証一部 ",1956,建設 ,ＮＤＳ,http://www.nds-g.co.jp/,,
" 東証一部,福証 ",1959,建設 ,九電工,http://www.kyudenko.co.jp/,,
 東証二部 ,1960,建設 ,サンテック,http://www.suntec-sec.jp/,,
 東証一部 ,1961,建設 ,三機工業,http://www.sanki.co.jp/,,
 東証一部 ,1963,建設 ,日揮,http://www.jgc.com/jp/index.html,,
 東証一部 ,1964,建設 ,中外炉工業,http://www.chugai.co.jp/,,
 東証二部 ,1965,建設 ,テクノ菱和,http://www.techno-ryowa.co.jp/,,
" 東証二部,福証 ",1966,建設 ,高田工業所,http://www.takada.co.jp/,,
 東証一部 ,1967,建設 ,ヤマト,http://www.yamato-se.co.jp/,,
 東証一部 ,1968,建設 ,太平電業,http://www.taihei-dengyo.co.jp/,,
 東証一部 ,1969,建設 ,高砂熱学工業,http://www.tte-net.co.jp/,,
 東証二部 ,1971,金属製品 ,中央ビルト工業,http://www.chuo-build.co.jp/,,
 東証一部 ,1972,建設 ,三晃金属工業,http://www.sankometal.co.jp/,,
 東証一部 ,1973,情報・通信 ,ＮＥＣネッツエスアイ,http://www.nesic.co.jp/,,
 東証一部 ,1975,建設 ,朝日工業社,http://www.asahikogyosha.co.jp/,,
 東証一部 ,1976,建設 ,明星工業,http://www.meisei-kogyo.co.jp/,,
 東証一部 ,1979,建設 ,大氣社,http://www.taikisha.co.jp/,,
 東証一部 ,1980,建設 ,ダイダン,http://www.daidan.co.jp/,,
 JASDAQスタンダード ,1981,建設 ,協和日成,http://www.kyowa-nissei.co.jp/,,
 東証一部 ,1982,建設 ,日比谷総合設備,http://www.hibiya-eng.co.jp/,,
 東証一部 ,1983,建設 ,東芝プラントシステム,http://www.toshiba-tpsc.co.jp/,,
 JASDAQスタンダード ,1984,建設 ,三信建設工業,http://www.sanshin-corp.co.jp/,,
 東証二部 ,1987,建設 ,ソルコム,http://www.solcom.co.jp/,,
 東証二部 ,1989,建設 ,北陸電話工事,http://www.hokuwa.co.jp/,,
 JASDAQスタンダード ,1992,建設 ,神田通信機,http://www.kandt.co.jp/,,
 JASDAQスタンダード ,1994,建設 ,高橋カーテンウォール工業,http://www.t-cw.co.jp/,,
 JASDAQスタンダード ,1997,建設 ,暁飯島工業,http://www.eazima.co.jp/,,
 福証 ,1999,建設 ,サイタホールディングス,http://www.saita-hd.co.jp/,,
" 東証一部,札証 ",2001,食品 ,日本製粉,http://www.nippn.co.jp/,,
 東証一部 ,2002,食品 ,日清製粉グループ本社,http://www.nisshin.com/,,
 東証一部 ,2003,食品 ,日東富士製粉,http://www.nittofuji.co.jp/,,
 東証一部 ,2004,食品 ,昭和産業,http://www.showa-sangyo.co.jp/,,
" 東証二部,福証 ",2006,食品 ,東福製粉,http://www.tofuku.co.jp/,,
 東証二部 ,2008,食品 ,増田製粉所,http://www.masufun.co.jp/,,
" 東証一部,福証 ",2009,食品 ,鳥越製粉,http://www.the-torigoe.co.jp/,,
" 東証一部,名証一部 ",2053,食品 ,中部飼料,http://www.chubushiryo.co.jp/,,
 東証二部 ,2055,食品 ,日和産業,http://www.nichiwasangyo.co.jp/,,
 福証 ,2058,食品 ,ヒガシマル,http://www.k-higashimaru.co.jp/,,
 東証一部 ,2060,食品 ,フィード・ワン,http://www.feed-one.co.jp/,,
 東証一部 ,2107,食品 ,東洋精糖,http://www.toyosugar.co.jp/,,
 東証一部 ,2108,食品 ,日本甜菜製糖,http://www.nitten.co.jp/,,
 東証一部 ,2109,食品 ,三井製糖,http://www.mitsui-sugar.co.jp/,,
 東証一部 ,2112,食品 ,塩水港精糖,http://www.ensuiko.co.jp/,,
 東証二部 ,2114,食品 ,フジ日本精糖,http://www.fnsugar.co.jp/,,
 東証一部 ,2117,食品 ,日新製糖,http://www.nissin-sugar.co.jp/,,
 東証一部 ,2120,サービス ,ネクスト,http://www.next-group.jp/,,
 東証マザーズ ,2121,サービス ,ミクシィ,http://mixi.co.jp/,,
 東証マザーズ ,2122,サービス ,インタースペース,http://www.interspace.ne.jp/,,
 東証一部 ,2124,サービス ,ジェイエイシーリクルートメント,http://www.jac-recruitment.jp/,,
 東証一部 ,2127,サービス ,日本Ｍ＆Ａセンター,http://www.nihon-ma.co.jp/,,
 東証一部 ,2128,サービス ,ノバレーゼ,http://www.novarese.co.jp/,,
 セントレックス ,2130,サービス ,メンバーズ,http://www.members.ne.jp/,,
