鹿角市役所,市区町村役所,秋田県,入札可能案件8,案件登録数1013,入札結果数888,https://www.njss.info/organizations/proc/5507/
仙台法務局,法務局,宮城県,入札可能案件5,案件登録数366,入札結果数280,https://www.njss.info/organizations/proc/131/
静岡地方法務局,法務局,静岡県,入札可能案件2,案件登録数368,入札結果数335,https://www.njss.info/organizations/proc/132/
高松法務局,法務局,香川県,入札可能案件1,案件登録数250,入札結果数217,https://www.njss.info/organizations/proc/133/
製品評価技術基盤機構(NITE)九州支所,その他経済産業省,独立行政法人,入札可能案件0,案件登録数0,入札結果数0,https://www.njss.info/organizations/proc/1896/
国立病院機構南和歌山医療センター,その他厚生労働省,独立行政法人,入札可能案件3,案件登録数397,入札結果数227,https://www.njss.info/organizations/proc/788/
国立病院機構いわき病院,その他厚生労働省,独立行政法人,入札可能案件4,案件登録数371,入札結果数246,https://www.njss.info/organizations/proc/789/
株式会社かんぽ生命保険(青森支店),民営化法人,青森県,入札可能案件0,案件登録数0,入札結果数0,https://www.njss.info/organizations/proc/2331/
航空自衛隊第4航空団(松島基地),航空自衛隊,宮城県,入札可能案件10,案件登録数702,入札結果数496,https://www.njss.info/organizations/proc/4059/
国立病院機構福島病院,その他厚生労働省,独立行政法人,入札可能案件1,案件登録数310,入札結果数205,https://www.njss.info/organizations/proc/784/
甲府地方裁判所(都留支部),裁判所,山梨県,入札可能案件0,案件登録数0,入札結果数0,https://www.njss.info/organizations/proc/2657/
国立病院機構山形病院,その他厚生労働省,独立行政法人,入札可能案件3,案件登録数232,入札結果数141,https://www.njss.info/organizations/proc/780/
国立病院機構米沢病院,その他厚生労働省,独立行政法人,入札可能案件2,案件登録数218,入札結果数110,https://www.njss.info/organizations/proc/781/
国立病院機構久里浜医療センター,その他厚生労働省,独立行政法人,入札可能案件4,案件登録数339,入札結果数229,https://www.njss.info/organizations/proc/782/
郵便事業株式会社(近畿支社 和歌山支店),民営化法人,和歌山県,入札可能案件0,案件登録数0,入札結果数0,https://www.njss.info/organizations/proc/2263/
日光砂防事務所,整備局,栃木県,入札可能案件1,案件登録数235,入札結果数151,https://www.njss.info/organizations/proc/1003/
松山地方裁判所(大洲支部),裁判所,愛媛県,入札可能案件0,案件登録数0,入札結果数0,https://www.njss.info/organizations/proc/3451/
高千穂簡易裁判所,裁判所,宮崎県,入札可能案件0,案件登録数0,入札結果数0,https://www.njss.info/organizations/proc/3189/
経済産業研究所(RIETI),その他経済産業省,独立行政法人,入札可能案件1,案件登録数376,入札結果数320,https://www.njss.info/organizations/proc/726/
松本市役所,市区町村役所,長野県,入札可能案件24,案件登録数2443,入札結果数2169,https://www.njss.info/organizations/proc/1758/
日南簡易裁判所,裁判所,宮崎県,入札可能案件0,案件登録数0,入札結果数0,https://www.njss.info/organizations/proc/3179/
磐城国道事務所,整備局,福島県,入札可能案件15,案件登録数867,入札結果数559,https://www.njss.info/organizations/proc/1091/
防衛医科大学校,その他防衛省,教育,入札可能案件36,案件登録数8556,入札結果数3774,https://www.njss.info/organizations/proc/49/
中村河川国道事務所,整備局,高知県,入札可能案件3,案件登録数1092,入札結果数935,https://www.njss.info/organizations/proc/929/
空知森林管理署,林野庁,北海道,入札可能案件11,案件登録数980,入札結果数550,https://www.njss.info/organizations/proc/1355/
国土技術政策総合研究所(つくば庁舎),その他国土交通省,研究所,入札可能案件34,案件登録数3019,入札結果数1689,https://www.njss.info/organizations/proc/507/
株式会社かんぽ生命保険(帯広支店),民営化法人,北海道,入札可能案件0,案件登録数0,入札結果数0,https://www.njss.info/organizations/proc/2330/
札幌市環境局環境事業部,市役所関連団体,北海道,入札可能案件33,案件登録数3526,入札結果数3354,https://www.njss.info/organizations/proc/4176/
東伯郡湯梨浜町役場,市区町村役所,鳥取県,入札可能案件1,案件登録数67,入札結果数62,https://www.njss.info/organizations/proc/6447/
前橋地方検察庁,検察庁,群馬県,入札可能案件2,案件登録数156,入札結果数2,https://www.njss.info/organizations/proc/168/
株式会社かんぽ生命保険(群馬支店),民営化法人,群馬県,入札可能案件0,案件登録数0,入札結果数0,https://www.njss.info/organizations/proc/2340/
科学警察研究所,警察庁,研究所,入札可能案件10,案件登録数839,入札結果数400,https://www.njss.info/organizations/proc/352/
